2024-06-06 18:23:14,057: 'h'
2024-06-06 18:23:14,159: 'o'
2024-06-06 18:23:14,334: 'l'
2024-06-06 18:23:14,377: 'y'
2024-06-06 18:23:14,517: Key.space
2024-06-06 18:23:14,695: 'c'
2024-06-06 18:23:14,789: 'a'
2024-06-06 18:23:14,870: 'n'
2024-06-06 18:23:15,073: Key.space
2024-06-06 18:23:15,259: 'y'
2024-06-06 18:23:15,292: 'o'
2024-06-06 18:23:15,659: 'u'
2024-06-06 18:23:15,863: Key.space
2024-06-06 18:23:16,029: 'b'
2024-06-06 18:23:16,155: 'e'
2024-06-06 18:23:16,334: 'l'
2024-06-06 18:23:16,516: 'i'
2024-06-06 18:23:16,557: 'e'
2024-06-06 18:23:16,634: 'v'
2024-06-06 18:23:16,768: 'e'
2024-06-06 18:23:16,844: Key.space
2024-06-06 18:23:16,919: 'i'
2024-06-06 18:23:17,053: 't'
2024-06-06 18:23:17,196: Key.shift_r
2024-06-06 18:23:17,315: '!'
2024-06-06 18:23:21,862: Key.delete
